Results Table 1
,Maximum Load
,(lbf)
"1","980.72"

Time,Elongation,Load
(s),(in),(lbf)
"12.5000","0.0480","434.2205"
"12.5200","0.0481","434.6470"
"12.5400","0.0481","435.0857"
"12.5600","0.0482","435.4364"
"12.5800","0.0483","435.7806"
"12.6000","0.0483","436.0926"
"12.6200","0.0484","436.4408"
"12.6400","0.0485","436.7888"
"12.6600","0.0485","437.1883"
"12.6800","0.0486","437.5721"
"12.7000","0.0487","437.9411"
"12.7200","0.0487","438.2775"
"12.7400","0.0488","438.5194"
"12.7600","0.0489","438.8109"
"12.7800","0.0489","439.1699"
"12.8000","0.0490","439.6354"
"12.8200","0.0491","440.0434"
"12.8400","0.0491","440.3628"
"12.8600","0.0492","440.5932"
"12.8800","0.0493","440.8304"
"12.9000","0.0493","441.2140"
"12.9200","0.0494","441.7088"
"12.9400","0.0495","442.1666"
"12.9600","0.0495","442.4332"
"12.9800","0.0496","442.6631"
"13.0000","0.0497","442.9394"
"13.0200","0.0497","443.2472"
"13.0400","0.0498","443.5902"
"13.0600","0.0499","444.0022"
"13.0800","0.0499","444.4385"
"13.1000","0.0500","444.7924"
"13.1200","0.0501","445.0985"
"13.1400","0.0501","445.3458"
"13.1600","0.0502","445.5935"
"13.1800","0.0503","445.8786"
"13.2000","0.0503","446.2464"
"13.2200","0.0504","446.6645"
"13.2400","0.0505","447.0507"
"13.2600","0.0505","447.3815"
"13.2800","0.0506","447.5837"
"13.3000","0.0507","447.7820"
"13.3200","0.0507","448.1216"
"13.3400","0.0508","448.6398"
"13.3600","0.0509","449.0908"
"13.3800","0.0509","449.3602"
"13.4000","0.0510","449.5362"
"13.4200","0.0511","449.7362"
"13.4400","0.0511","450.0530"
"13.4600","0.0512","450.4930"
"13.4800","0.0513","450.9257"
"13.5000","0.0513","451.2112"
"13.5200","0.0514","451.4666"
"13.5400","0.0515","451.7252"
"13.5600","0.0515","451.9629"
"13.5800","0.0516","452.2636"
"13.6000","0.0517","452.6642"
"13.6200","0.0517","453.0828"
"13.6400","0.0518","453.4369"
"13.6600","0.0519","453.7338"
"13.6800","0.0519","453.9422"
"13.7000","0.0520","454.1192"
"13.7200","0.0521","454.3986"
"13.7400","0.0521","454.8149"
"13.7600","0.0522","455.2516"
"13.7800","0.0523","455.6291"
"13.8000","0.0523","455.9403"
"13.8200","0.0524","456.1386"
"13.8400","0.0525","456.3369"
"13.8600","0.0525","456.6416"
"13.8800","0.0526","457.0930"
"13.9000","0.0527","457.4611"
"13.9200","0.0527","457.6797"
"13.9400","0.0528","457.8598"
"13.9600","0.0529","458.0780"
"13.9800","0.0529","458.3638"
"14.0000","0.0530","458.7490"
"14.0200","0.0531","459.1646"
"14.0400","0.0531","459.4832"
"14.0600","0.0532","459.7759"
"14.0800","0.0533","460.0235"
"14.1000","0.0533","460.1890"
"14.1200","0.0534","460.4114"
"14.1400","0.0535","460.7806"
"14.1600","0.0535","461.2382"
"14.1800","0.0536","461.6183"
"14.2000","0.0537","461.9051"
"14.2200","0.0537","462.0783"
"14.2400","0.0538","462.2050"
"14.2600","0.0539","462.4619"
"14.2800","0.0539","462.8686"
"14.3000","0.0540","463.2954"
"14.3200","0.0541","463.6348"
"14.3400","0.0541","463.8905"
"14.3600","0.0542","464.0648"
"14.3800","0.0543","464.2789"
"14.4000","0.0543","464.6079"
"14.4200","0.0544","465.0123"
"14.4400","0.0545","465.3208"
"14.4600","0.0545","465.5673"
"14.4800","0.0546","465.8149"
"14.5000","0.0547","466.0754"
"14.5200","0.0547","466.3310"
"14.5400","0.0548","466.6074"
"14.5600","0.0549","466.9312"
"14.5800","0.0549","467.2469"
"14.6000","0.0550","467.5700"
"14.6200","0.0551","467.8127"
"14.6400","0.0551","467.9405"
"14.6600","0.0552","468.1112"
"14.6800","0.0553","468.4763"
"14.7000","0.0553","468.9461"
"14.7200","0.0554","469.3181"
"14.7400","0.0555","469.5499"
"14.7600","0.0555","469.7160"
"14.7800","0.0556","469.8907"
"14.8000","0.0557","470.1488"
"14.8200","0.0557","470.4775"
"14.8400","0.0558","470.8664"
"14.8600","0.0559","471.1766"
"14.8800","0.0559","471.4472"
"14.9000","0.0560","471.6552"
"14.9200","0.0561","471.8312"
"14.9400","0.0561","472.0953"
"14.9600","0.0562","472.4361"
"14.9800","0.0563","472.7737"
"15.0000","0.0563","473.0433"
"15.0200","0.0564","473.3202"
"15.0400","0.0565","473.5779"
"15.0600","0.0565","473.8013"
"15.0800","0.0566","474.0635"
"15.1000","0.0567","474.3769"
"15.1200","0.0567","474.6985"
"15.1400","0.0568","474.9881"
"15.1600","0.0569","475.2325"
"15.1800","0.0569","475.4007"
"15.2000","0.0570","475.5910"
"15.2200","0.0571","475.9195"
"15.2400","0.0571","476.3525"
"15.2600","0.0572","476.6716"
"15.2800","0.0573","476.8608"
"15.3000","0.0573","477.0214"
"15.3200","0.0574","477.1783"
"15.3400","0.0575","477.4041"
"15.3600","0.0575","477.7184"
"15.3800","0.0576","478.0745"
"15.4000","0.0577","478.3439"
"15.4200","0.0577","478.5955"
"15.4400","0.0578","478.8243"
"15.4600","0.0579","479.0533"
"15.4800","0.0579","479.3184"
"15.5000","0.0580","479.6303"
"15.5200","0.0581","479.9168"
"15.5400","0.0581","480.1950"
"15.5600","0.0582","480.4840"
"15.5800","0.0583","480.7092"
"15.6000","0.0583","480.8752"
"15.6200","0.0584","481.1155"
"15.6400","0.0585","481.4401"
"15.6600","0.0585","481.7757"
"15.6800","0.0586","482.0483"
"15.7000","0.0587","482.2490"
"15.7200","0.0587","482.3910"
"15.7400","0.0588","482.6284"
"15.7600","0.0589","483.0030"
"15.7800","0.0589","483.4114"
"15.8000","0.0590","483.6993"
"15.8200","0.0591","483.8536"
"15.8400","0.0591","483.9853"
"15.8600","0.0592","484.1558"
"15.8800","0.0593","484.4105"
"15.9000","0.0593","484.7136"
"15.9200","0.0594","485.0705"
"15.9400","0.0595","485.3619"
"15.9600","0.0595","485.5863"
"15.9800","0.0596","485.7688"
"16.0000","0.0597","485.9338"
